Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740616860083,316.01441955566406,1400,2,0.7125,2606.863006591797,1400,1400,1400,1400,1400,1400,1400,1400,41.81097412109375,57.97798538208008,59.62193298339844,43.45427703857422,55.234649658203125,39.56895446777344,53.32453536987305,32.050010681152344,14964924416,11811160064,12141289472,0
203,1740616860084,316.0185241699219,1400,2,0.7125,2606.9042205810547,1400,1400,1400,1400,1400,1400,1400,1400,35.27330780029297,92.1603775024414,76.595703125,48.031681060791016,23.732574462890625,100,70.22743225097656,37.54944610595703,14964924416,11811160064,12140969984,0
195,1740616860293,307.6585998535156,1400,2,0.7125,2607.647918701172,1400,1400,1400,1400,1400,1400,1400,1400,57.89177322387695,49.75490951538086,73.45166015625,61.80019760131836,59.14635467529297,53.91210174560547,61.93419647216797,54.37138748168945,14964924416,11811160064,12142370816,0
199,1740616860489,316.13829040527344,1400,2,0.7125,2608.3443145751953,1400,1400,1400,1400,1400,1400,1400,1400,42.8294563293457,34.486167907714844,51.16596603393555,48.740474700927734,40.31154251098633,76.80367279052734,33.82921600341797,86.8767318725586,14964924416,11811160064,12147806208,0
199,1740616860689,307.7556457519531,1400,2,0.7125,2609.019271850586,1400,1400,1400,1400,1400,1400,1400,1400,51.466552734375,47.17874526977539,45.1411018371582,53.292930603027344,48.99298858642578,30.219940185546875,45.734275817871094,40.056060791015625,14964924416,11811160064,12155961344,0
21,1740616861068,316.25172424316406,1400,2,0.7125,2610.0988159179688,1400,1400,1400,1400,1400,1400,1400,1400,19.745948791503906,18.493133544921875,27.221595764160156,17.858802795410156,23.234268188476563,17.125152587890625,21.066993713378906,19.71405792236328,14964924416,11811160064,12162760704,0
199,1740616861090,316.2575225830078,1400,2,0.7125,2610.178497314453,1400,1400,1400,1400,1400,1400,1400,1400,55.673606872558594,40.659488677978516,52.65732955932617,35.18888854980469,92.64402770996094,39.3481330871582,0,0,14964924416,11811160064,12164669440,0
197,1740616861292,307.8964080810547,1400,2,0.7125,2610.920166015625,1400,1400,1400,1400,1400,1400,1400,1400,96.3248519897461,97.11396026611328,96.72777557373047,97.56088256835938,97.36539459228516,96.59707641601563,21.304458618164063,21.898178100585938,14964924416,11811160064,12201164800,0
200,1740616861490,307.95135498046875,1400,2,0.7125,2611.668731689453,1400,1400,1400,1400,1400,1400,1400,1400,59.02926254272461,43.787940979003906,67.79520416259766,45.819297790527344,53.519676208496094,45.63785934448242,52.191165924072266,49.95647048950195,14964924416,11811160064,12205182976,0
200,1740616861691,248.08218383789063,1400,2,0.7125,2612.328598022461,1400,1400,1400,1400,1400,1400,1400,1400,43.69001388549805,34.02246856689453,48.33319091796875,39.17464065551758,38.106201171875,30.354156494140625,38.753318786621094,34.16466522216797,14964924416,11811160064,12204457984,0
200,1740616861891,308.0767059326172,1400,2,0.7125,2613.2600860595703,1400,1400,1400,1400,1400,1400,1400,1400,66.33522033691406,54.95237731933594,67.86053466796875,67.21243286132813,75.3551025390625,57.91199493408203,61.452293395996094,64.98158264160156,14964924416,11811160064,12208386048,0
197,1740616862095,248.22657775878906,1400,2,0.7125,2614.0833892822266,1400,1400,1400,1400,1400,1400,1400,1400,89.42723846435547,83.39848327636719,89.8182601928711,84.42622375488281,86.40878295898438,83.43122863769531,90.51744842529297,83.78752899169922,14964924416,11811160064,12217937920,0
199,1740616862293,316.66526794433594,1400,2,0.7125,2614.880630493164,1400,1400,1400,1400,1400,1400,1400,1400,70.37155151367188,55.47736358642578,65.70217895507813,60.174583435058594,65.86092376708984,56.97073745727539,67.43495178222656,60.04963684082031,14964924416,11811160064,12201013248,0
199,1740616862494,308.2613830566406,1400,2,0.7125,2615.608383178711,1400,1400,1400,1400,1400,1400,1400,1400,52.08052444458008,41.5761604309082,48.621742248535156,54.30019760131836,52.504276275634766,32.46710205078125,58.749183654785156,45.85966873168945,14964924416,11811160064,12200665088,0
199,1740616862694,248.41256713867188,1400,2,0.7125,2616.425811767578,1400,1400,1400,1400,1400,1400,1400,1400,61.979251861572266,54.876914978027344,63.937896728515625,58.36244201660156,65.1424331665039,53.713104248046875,56.772682189941406,51.37409591674805,14964924416,11811160064,12200992768,0
199,1740616862894,248.47918701171875,1400,2,0.7125,2617.2418212890625,1400,1400,1400,1400,1400,1400,1400,1400,72.63211059570313,70.69328308105469,70.69349670410156,71.52290344238281,72.73075866699219,62.267311096191406,77.43965911865234,66.6067123413086,14964924416,11811160064,12208648192,0
200,1740616863095,316.9135437011719,1400,2,0.7125,2617.942657470703,1400,1400,1400,1400,1400,1400,1400,1400,35.158790588378906,42.82890701293945,40.021240234375,44.510189056396484,42.133548736572266,34.57630157470703,53.240116119384766,36.309024810791016,14964924416,11811160064,12207783936,0
199,1740616863295,316.9669494628906,1400,2,0.7125,2618.580551147461,1400,1400,1400,1400,1400,1400,1400,1400,39.410194396972656,29.817825317382813,45.13629913330078,42.8770751953125,40.95601272583008,21.092361450195313,45.7355842590332,34.032554626464844,14964924416,11811160064,12204163072,0
199,1740616863496,317.02752685546875,1400,2,0.7125,2619.259735107422,1400,1400,1400,1400,1400,1400,1400,1400,55.43285369873047,43.468353271484375,54.05097961425781,52.588077545166016,38.77922058105469,52.254085540771484,44.60124969482422,52.11932373046875,14964924416,11811160064,12204609536,0
199,1740616863696,317.0822448730469,1400,2,0.7125,2619.9328002929688,1400,1400,1400,1400,1400,1400,1400,1400,41.73160171508789,40.95090866088867,43.300315856933594,45.569549560546875,49.45344924926758,46.093624114990234,47.32634735107422,35.24559020996094,14964924416,11811160064,12203450368,0
199,1740616863897,308.6550598144531,1400,2,0.7125,2620.676803588867,1400,1400,1400,1400,1400,1400,1400,1400,58.64851760864258,47.83778381347656,50.90509033203125,57.368717193603516,53.38554000854492,52.08478546142578,57.58005905151367,54.654052734375,14964924416,11811160064,12204560384,0
199,1740616864097,317.21397399902344,1400,2,0.7125,2621.5060119628906,1400,1400,1400,1400,1400,1400,1400,1400,67.19459533691406,63.555511474609375,68.16638946533203,58.272090911865234,68.54643249511719,58.1054801940918,73.95431518554688,59.91510009765625,14964924416,11811160064,12204699648,0
200,1740616864297,317.27850341796875,1400,2,0.7125,2622.3172149658203,1400,1400,1400,1400,1400,1400,1400,1400,57.51199722290039,50.630401611328125,53.003623962402344,58.49149703979492,52.89897537231445,57.808570861816406,59.665035247802734,45.8651123046875,14964924416,11811160064,12203659264,0
199,1740616864498,308.8550109863281,1400,2,0.7125,2623.167205810547,1400,1400,1400,1400,1400,1400,1400,1400,72.5537338256836,61.95981979370117,77.99917602539063,62.13737487792969,68.69889831542969,66.80399322509766,67.32628631591797,73.28829956054688,14964924416,11811160064,12213219328,0
200,1740616864698,278.44049072265625,1400,2,0.7125,2623.9117431640625,1400,1400,1400,1400,1400,1400,1400,1400,46.829986572265625,44.78272247314453,55.468482971191406,42.49254608154297,49.244781494140625,56.08596420288086,47.63208770751953,54.74235916137695,14964924416,11811160064,12197027840,0
