Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740625574299,2274.4405212402344,1400,2,0.84375,27377.487747192383,1400,1400,1400,1400,1400,1400,1400,1400,31.00318145751953,84.53338623046875,32.884544372558594,79.9627685546875,51.15700149536133,16.02239227294922,45.46663284301758,32.190330505371094,14964924416,11811160064,11976265728,341770240
197,1740625574301,2339.204147338867,1400,2,0.84375,27377.558502197266,1400,1400,1400,1400,1400,1400,1400,1400,72.78193664550781,63.652835845947266,69.5055160522461,64.72727966308594,88.07032012939453,80.93148803710938,65.48780822753906,86.32958221435547,14964924416,11811160064,11976212480,343498752
196,1740625574503,2274.5008544921875,1400,2,0.84375,27378.257736206055,1400,1400,1400,1400,1400,1400,1400,1400,29.116722106933594,63.98135757446289,77.31103515625,26.4139404296875,76.37448120117188,32.4759521484375,55.11845397949219,33.59503173828125,14964924416,11811160064,11976458240,376348672
199,1740625574700,2339.307357788086,1400,2,0.84375,27378.91943359375,1400,1400,1400,1400,1400,1400,1400,1400,54.020992279052734,24.559494018554688,41.848201751708984,45.05998229980469,74.55551147460938,54.77466583251953,48.67929458618164,76.46018981933594,14964924416,11811160064,11980529664,382038016
200,1740625574900,1126.3103332519531,1400,2,0.84375,27379.53675842285,1400,1400,1400,1400,1400,1400,1400,1400,29.292800903320313,48.782745361328125,48.981117248535156,17.887962341308594,54.63322448730469,15.017295837402344,58.25383758544922,38.47728729248047,14964924416,11811160064,11990634496,396132352
200,1740625575100,1726.5712585449219,1400,2,0.84375,27380.29278564453,1400,1400,1400,1400,1400,1400,1400,1400,67.0995864868164,67.99345397949219,75.79249572753906,64.42460632324219,70.69705200195313,66.01691436767578,69.69834899902344,73.03462219238281,14964924416,11811160064,12046229504,479580160
200,1740625575301,2274.7256622314453,1400,2,0.84375,27381.18473815918,1400,1400,1400,1400,1400,1400,1400,1400,80.16152954101563,86.21331787109375,79.67816162109375,84.99424743652344,77.27239990234375,76.20869445800781,78.7666244506836,81.25450134277344,14964924416,11811160064,12106719232,543039488
199,1740625575503,1126.527328491211,1400,2,0.84375,27382.14828491211,1400,1400,1400,1400,1400,1400,1400,1400,87.41476440429688,87.73131561279297,89.49307250976563,92.28990936279297,92.50798797607422,87.15130615234375,93.0451431274414,91.81665802001953,14964924416,11811160064,12122361856,553353216
202,1740625575703,1726.7926330566406,1400,2,0.84375,27383.087142944336,1400,1400,1400,1400,1400,1400,1400,1400,95.90487670898438,95.88214111328125,97.9298324584961,95.46453857421875,95.66078186035156,95.63794708251953,97.43684387207031,96.57870483398438,14964924416,11811160064,12125380608,566169600
198,1740625575907,2274.9603729248047,1400,2,0.84375,27384.086380004883,1400,1400,1400,1400,1400,1400,1400,1400,90.88288116455078,94.51109313964844,94.73526000976563,93.18096923828125,91.622314453125,94.15972900390625,91.04443359375,95.72769165039063,14964924416,11811160064,12131291136,572334080
200,1740625576106,2275.0186309814453,1700,2,0.69375,27384.81968688965,1400,1400,1400,1400,1400,1400,1400,1400,86.4135971069336,71.18212127685547,81.97917175292969,85.09473419189453,87.12177276611328,78.082275390625,78.78718566894531,78.83363342285156,14964924416,11811160064,12126117888,558743552
200,1740625576307,2275.104965209961,1700,2,0.69375,27385.793060302734,1400,1400,1400,1400,1400,1400,1400,1400,79.17039489746094,63.26093673706055,70.59710693359375,71.35256958007813,72.56626892089844,69.89381408691406,65.36845397949219,68.57510375976563,14964924416,11811160064,12125618176,558743552
200,1740625576508,1126.9278564453125,1700,2,0.69375,27386.737869262695,1400,1400,1400,1400,1400,1400,1400,1400,69.24301147460938,72.14494323730469,80.12715148925781,69.270263671875,64.64755249023438,59.864681243896484,80.04257202148438,79.85818481445313,14964924416,11811160064,12130103296,559501312
199,1740625576709,2275.2725219726563,1700,2,0.69375,27387.721481323242,1400,1400,1400,1400,1400,1400,1400,1400,74.28571319580078,73.55703735351563,75.74342346191406,81.11217498779297,88.63235473632813,72.48323822021484,79.47766876220703,69.1672592163086,14964924416,11811160064,12128837632,557895680
