Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740629317722,3593.789520263672,1400,2,0.8625,39935.6213684082,1400,1400,1400,1400,1400,1400,1400,1400,24.509475708007813,54.969032287597656,25.1829833984375,19.21990203857422,31.669403076171875,17.179595947265625,25.986419677734375,9.532608032226563,14964924416,11811160064,11954262016,328347648
199,1740629317723,3593.7941284179688,1400,2,0.8625,39935.66567993164,1400,1400,1400,1400,1400,1400,1400,1400,93.6875228881836,86.82701873779297,79.91261291503906,54.360504150390625,86.71104431152344,98.45066833496094,0,0,14964924416,11811160064,11954880512,328347648
196,1740629317926,3492.0621795654297,1400,2,0.8625,39936.3487701416,1400,1400,1400,1400,1400,1400,1400,1400,82.72573852539063,83.68869018554688,89.28156280517578,89.2116928100586,87.26971435546875,76.89432525634766,0.2754669189453125,0.27494049072265625,14964924416,11811160064,11960909824,362835968
199,1740629318123,3492.1314239501953,1400,2,0.8625,39937.11875915527,1400,1400,1400,1400,1400,1400,1400,1400,84.42888641357422,89.3718490600586,91.63048553466797,90.39108276367188,86.16203308105469,85.665283203125,74.37899017333984,72.10591125488281,14964924416,11811160064,11971473408,378970112
200,1740629318323,3492.1988677978516,1400,2,0.8625,39937.935974121094,1400,1400,1400,1400,1400,1400,1400,1400,83.50720977783203,97.42183685302734,92.97809600830078,87.47030639648438,82.05259704589844,79.69685363769531,78.78057861328125,82.63563537597656,14964924416,11811160064,11996786688,403238912
199,1740629318524,2734.9027557373047,1400,2,0.8625,39938.61152648926,1400,1400,1400,1400,1400,1400,1400,1400,51.24281692504883,37.601383209228516,63.27399444580078,60.98573684692383,39.21063995361328,35.915382385253906,42.936397552490234,62.344242095947266,14964924416,11811160064,11991855104,428253184
199,1740629318724,2734.9622650146484,1400,2,0.8625,39939.39289855957,1400,1400,1400,1400,1400,1400,1400,1400,72.33406066894531,62.02471923828125,60.71697998046875,56.51127243041992,48.037166595458984,62.91227340698242,59.70985412597656,46.5555305480957,14964924416,11811160064,12092534784,521510912
200,1740629318925,3594.2134552001953,1400,2,0.8625,39940.305099487305,1400,1400,1400,1400,1400,1400,1400,1400,89.15182495117188,89.4704818725586,89.57794189453125,87.52304077148438,92.21989440917969,87.1104507446289,89.21055603027344,91.2201919555664,14964924416,11811160064,12113772544,539906048
199,1740629319125,3492.461669921875,1400,2,0.8625,39941.21797180176,1400,1400,1400,1400,1400,1400,1400,1400,83.06436157226563,85.2111587524414,86.10038757324219,85.0537109375,88.2651138305664,85.24079895019531,90.84564971923828,87.27249908447266,14964924416,11811160064,12121808896,543580160
199,1740629319326,3492.5430450439453,1400,2,0.8625,39942.17613220215,1400,1400,1400,1400,1400,1400,1400,1400,90.40792846679688,91.81903076171875,85.24339294433594,88.36639404296875,84.56970977783203,81.29849243164063,85.61225128173828,87.3831558227539,14964924416,11811160064,12120915968,543432704
199,1740629319526,3492.6088256835938,1400,2,0.8625,39942.994201660156,1400,1400,1400,1400,1400,1400,1400,1400,90.23834991455078,87.54911041259766,89.85260009765625,81.01553344726563,87.57350158691406,93.05536651611328,85.19160461425781,82.95863342285156,14964924416,11811160064,12121526272,543182848
200,1740629319726,3594.4952239990234,1400,2,0.8625,39943.71726989746,1400,1400,1400,1400,1400,1400,1400,1400,60.97463607788086,55.73472213745117,82.61173248291016,51.85324478149414,49.999820709228516,70.18809509277344,57.280338287353516,37.27300262451172,14964924416,11811160064,12120768512,543137792
199,1740629319927,3492.742401123047,1400,2,0.8625,39944.61112976074,1400,1400,1400,1400,1400,1400,1400,1400,78.72620391845703,71.59724426269531,74.21543884277344,74.532958984375,71.79159545898438,71.09361267089844,83.61842346191406,83.099365234375,14964924416,11811160064,12119957504,542707712
199,1740629320127,3492.809768676758,1400,2,0.8625,39945.465072631836,1400,1400,1400,1400,1400,1400,1400,1400,67.00141143798828,64.99385070800781,68.92269897460938,65.37814331054688,63.30390548706055,78.33967590332031,70.05937957763672,79.31219482421875,14964924416,11811160064,12120346624,540487680
199,1740629320328,3492.8811645507813,1400,2,0.8625,39946.35682678223,1400,1400,1400,1400,1400,1400,1400,1400,79.22195434570313,67.10636901855469,73.8858642578125,71.94599914550781,84.08993530273438,79.26373291015625,79.96509552001953,78.56594848632813,14964924416,11811160064,12119552000,541536256
198,1740629320529,3492.959747314453,1400,2,0.8625,39947.35842895508,1400,1400,1400,1400,1400,1400,1400,1400,90.08365631103516,91.1574478149414,94.63349914550781,91.94155883789063,91.79261779785156,89.3051986694336,87.23875427246094,94.78813171386719,14964924416,11811160064,12119646208,541470720
200,1740629320729,1935.6103210449219,1400,2,0.8625,39948.26600646973,1400,1400,1400,1400,1400,1400,1400,1400,97.38631439208984,94.75944519042969,96.38682556152344,98.68712615966797,95.51786041259766,97.68972778320313,96.33119201660156,95.70413208007813,14964924416,11811160064,12120887296,546746368
200,1740629320929,1935.6839447021484,1400,2,0.8625,39949.144927978516,1400,1400,1400,1400,1400,1400,1400,1400,91.61383056640625,92.22933197021484,93.60087585449219,92.70761108398438,91.10580444335938,92.3648681640625,92.18557739257813,90.77722930908203,14964924416,11811160064,12129959936,561709056
200,1740629321130,3595.0281524658203,1700,2,0.7,39950.12033081055,1400,1400,1400,1400,1400,1400,1400,1400,91.69197845458984,89.23370361328125,91.57535552978516,89.4952163696289,91.63675689697266,90.26299285888672,91.63690948486328,92.10786437988281,14964924416,11811160064,12115542016,543703040
200,1740629321331,3595.121383666992,1700,2,0.7,39951.12754821777,1400,1400,1400,1400,1400,1400,1400,1400,81.01514434814453,76.67127227783203,88.59235382080078,83.7032699584961,80.6611099243164,75.85467529296875,80.57596588134766,74.48739624023438,14964924416,11811160064,12115709952,544817152
199,1740629321532,3595.2061157226563,1700,2,0.7,39952.12699890137,1400,1400,1400,1400,1400,1400,1400,1400,87.74014282226563,82.91569519042969,86.89241790771484,87.35923767089844,87.46383666992188,83.7633285522461,91.56541442871094,91.2563247680664,14964924416,11811160064,12115578880,544194560
204,1740629321732,3493.4503021240234,1700,2,0.7,39953.14826965332,1400,1400,1400,1400,1400,1400,1400,1400,81.67325592041016,80.61534118652344,86.50122833251953,81.915283203125,81.25015258789063,77.41261291503906,88.63327026367188,78.65445709228516,14964924416,11811160064,12115382272,543498240
199,1740629321937,3595.3917694091797,1700,2,0.7,39954.271484375,1400,1400,1400,1400,1400,1400,1400,1400,98.93605041503906,99.14603424072266,99.6124496459961,98.8282470703125,99.46063995361328,98.31074523925781,98.80938720703125,99.0440902709961,14964924416,11811160064,12115193856,543432704
199,1740629322138,3595.478469848633,1700,2,0.7,39955.247497558594,1400,1400,1400,1400,1400,1400,1400,1400,97.12547302246094,97.23844909667969,95.62171936035156,97.39862823486328,97.85348510742188,96.71466064453125,97.7452392578125,98.25834655761719,14964924416,11811160064,12122091520,542310400
200,1740629322338,1936.2902221679688,1700,2,0.7,39956.08540344238,1400,1400,1400,1400,1400,1400,1400,1400,64.64366149902344,60.99537658691406,63.038612365722656,69.72560119628906,67.67897033691406,76.16688537597656,71.38763427734375,67.62374877929688,14964924416,11811160064,12120084480,542863360
200,1740629322539,3493.789291381836,1700,2,0.7,39957.06628417969,1400,1400,1400,1400,1400,1400,1400,1400,78.53268432617188,79.65019226074219,75.55511474609375,75.92308044433594,71.0191421508789,76.44097900390625,81.89614868164063,70.5013427734375,14964924416,11811160064,12120358912,542863360
199,1740629322740,2736.500747680664,1700,2,0.7,39957.95704650879,1400,1400,1400,1400,1400,1400,1400,1400,71.30709075927734,68.46231079101563,75.6862564086914,61.845951080322266,65.54777526855469,59.256996154785156,78.87495422363281,65.26368713378906,14964924416,11811160064,12119240704,542044160
200,1740629322940,3595.783493041992,1700,2,0.7,39958.85610961914,1400,1400,1400,1400,1400,1400,1400,1400,59.775352478027344,59.00800704956055,63.67848587036133,57.70810317993164,77.45985412597656,53.569583892822266,59.72608184814453,57.632591247558594,14964924416,11811160064,12125933568,547528704
199,1740629323142,1936.6258697509766,1700,2,0.7,39959.90637207031,1400,1400,1400,1400,1400,1400,1400,1400,84.46765899658203,78.70972442626953,84.64022827148438,80.61685943603516,86.5794906616211,81.6141357421875,88.39839172363281,87.27791595458984,14964924416,11811160064,12126560256,547528704
201,1740629323341,1936.7166137695313,1700,2,0.7,39960.93975830078,1400,1400,1400,1400,1400,1400,1400,1400,90.21768188476563,91.40189361572266,91.21843719482422,89.92737579345703,90.64785766601563,90.5357666015625,93.96444702148438,89.9100341796875,14964924416,11811160064,12135223296,570470400
200,1740629323543,3494.204635620117,1700,2,0.7,39961.945571899414,1400,1400,1400,1400,1400,1400,1400,1400,88.74120330810547,82.97293090820313,83.52336120605469,88.30685424804688,88.12702941894531,85.33937072753906,90.93679809570313,89.89277648925781,14964924416,11811160064,12119482368,551550976
200,1740629323744,3596.1343688964844,1700,2,0.7,39962.91612243652,1400,1400,1400,1400,1400,1400,1400,1400,76.90695190429688,64.51283264160156,76.11131286621094,71.99728393554688,70.91961669921875,73.94322204589844,80.13939666748047,76.22039031982422,14964924416,11811160064,12119584768,551424000
199,1740629323944,3494.359878540039,1700,2,0.7,39963.8896484375,1400,1400,1400,1400,1400,1400,1400,1400,69.5621337890625,62.885494232177734,76.99954223632813,74.49059295654297,68.7279281616211,69.90318298339844,81.88652038574219,66.9801025390625,14964924416,11811160064,12123758592,552513536
199,1740629324145,3494.438018798828,1700,2,0.7,39964.848693847656,1400,1400,1400,1400,1400,1400,1400,1400,66.59839630126953,59.8135871887207,75.69984436035156,85.04802703857422,66.87129211425781,65.05259704589844,77.12975311279297,72.94942474365234,14964924416,11811160064,12127379456,550449152
199,1740629324345,3494.5170135498047,1700,2,0.7,39965.80326843262,1400,1400,1400,1400,1400,1400,1400,1400,70.6770248413086,54.484954833984375,64.59687042236328,70.78947448730469,73.27493286132813,72.7791976928711,70.857177734375,67.2568130493164,14964924416,11811160064,12127416320,551256064
199,1740629324545,2737.252151489258,1700,2,0.7,39966.7423248291,1400,1400,1400,1400,1400,1400,1400,1400,63.98401641845703,52.61702346801758,63.77690887451172,59.815673828125,55.10132598876953,60.129512786865234,78.09627532958984,68.66588592529297,14964924416,11811160064,12127027200,551829504
200,1740629324745,3494.6709747314453,1700,2,0.7,39967.67170715332,1400,1400,1400,1400,1400,1400,1400,1400,68.79536437988281,52.38295364379883,74.38684844970703,60.755104064941406,70.88357543945313,57.55790710449219,70.38907623291016,68.29856872558594,14964924416,11811160064,12126863360,551182336
200,1740629324946,3494.7582397460938,1700,2,0.7,39968.6365814209,1400,1400,1400,1400,1400,1400,1400,1400,71.98970031738281,66.32731628417969,71.2860107421875,60.71473693847656,75.86500549316406,75.1192626953125,70.08233642578125,63.58625411987305,14964924416,11811160064,12127223808,550649856
199,1740629325147,3494.8553619384766,1700,2,0.7,39969.67071533203,1400,1400,1400,1400,1400,1400,1400,1400,82.35424041748047,80.282470703125,73.87195587158203,89.09007263183594,79.9959716796875,84.853515625,85.1889419555664,82.44085693359375,14964924416,11811160064,12128202752,549019648
200,1740629325347,3494.9430236816406,1700,2,0.7,39970.6473236084,1400,1400,1400,1400,1400,1400,1400,1400,73.18374633789063,74.84356689453125,81.14957427978516,76.10563659667969,88.4844970703125,78.91439056396484,80.28050231933594,78.44020080566406,14964924416,11811160064,12127633408,550072320
199,1740629325548,1937.699966430664,1700,2,0.7,39971.66613769531,1400,1400,1400,1400,1400,1400,1400,1400,85.5018310546875,83.78630828857422,86.98889923095703,82.90316772460938,81.59719848632813,85.8144760131836,89.3919448852539,84.21711730957031,14964924416,11811160064,12128120832,550072320
203,1740629325748,3597.036407470703,1700,2,0.7,39972.71806335449,1400,1400,1400,1400,1400,1400,1400,1400,93.19508361816406,90.57452392578125,91.70935821533203,90.98371887207031,94.52806854248047,91.38963317871094,89.51679992675781,94.18626403808594,14964924416,11811160064,12132610048,568815616
197,1740629325954,3495.239547729492,1700,2,0.7,39973.8283996582,1400,1400,1400,1400,1400,1400,1400,1400,94.58456420898438,94.08403778076172,95.12374114990234,94.64458465576172,97.20508575439453,92.16835021972656,95.69688415527344,94.81562805175781,14964924416,11811160064,12130074624,571842560
200,1740629326152,2738.015426635742,4000,0,0.70625,39974.93478393555,1400,1400,1400,1400,1400,1400,1400,1400,95.14118957519531,95.14590454101563,96.1015853881836,94.70885467529297,92.89102172851563,97.74115753173828,96.89826202392578,98.10254669189453,14964924416,11811160064,12123107328,550805504
200,1740629326353,3495.830108642578,3750,0,1.1375,39977.777755737305,1400,1400,1400,1400,1400,1400,1400,1400,96.34222412109375,96.01506042480469,96.2718276977539,96.43050384521484,97.59058380126953,98.54965209960938,99.0983657836914,97.83953094482422,14964924416,11811160064,12115972096,552382464
198,1740629326555,3496.276168823242,3750,0,1.125,39980.391525268555,1400,1400,1400,1400,1400,1400,1400,1400,95.62447357177734,95.18824768066406,95.6109390258789,97.03359985351563,97.73870849609375,96.8280029296875,97.45581817626953,95.5094985961914,14964924416,11811160064,12113956864,551526400
200,1740629326754,3598.8052825927734,3725,0,1.1375,39983.24951171875,1400,1400,1400,1400,1400,1400,1400,1400,98.9660873413086,98.1036376953125,97.61429595947266,97.68086242675781,97.50975036621094,97.15457153320313,97.64484405517578,97.72250366210938,14964924416,11811160064,12113293312,550801408
199,1740629326954,2739.964096069336,3700,0,1.0875,39985.765197753906,1400,1400,1400,1400,1400,1400,1400,1400,97.53750610351563,97.07778930664063,97.0484619140625,97.62781524658203,96.89832305908203,97.06061553955078,96.8067398071289,97.94833374023438,14964924416,11811160064,12112523264,550801408
200,1740629327154,3497.716552734375,2900,0,1.14375,39988.48213195801,1400,1400,1400,1400,1400,1400,1400,1400,87.70645904541016,83.15457153320313,81.92544555664063,83.42350769042969,95.00857543945313,75.86054229736328,87.85313415527344,89.92912292480469,14964924416,11811160064,12109500416,549752832
201,1740629327355,1941.0996398925781,3750,0,1.0875,39991.04818725586,1400,1400,1400,1400,1400,1400,1400,1400,92.80978393554688,88.68161010742188,90.74895477294922,93.79068756103516,90.20276641845703,89.58574676513672,92.95064544677734,93.39335632324219,14964924416,11811160064,12109172736,551772160
200,1740629327556,3498.661178588867,3600,0,1.09375,39993.808837890625,1400,1400,1400,1400,1400,1400,1400,1400,93.28094482421875,92.27762603759766,93.71080017089844,92.90081024169922,94.8946304321289,89.96099853515625,92.41912841796875,91.82268524169922,14964924416,11811160064,12108902400,553312256
199,1740629327757,3499.1454010009766,2960,0,1.1,39996.500259399414,1400,1400,1400,1400,1400,1400,1400,1400,87.0692367553711,85.56602478027344,94.57777404785156,79.32758331298828,80.56745910644531,94.56024932861328,86.7551498413086,87.97976684570313,14964924416,11811160064,12109135872,554237952
199,1740629327959,2742.371337890625,3675,0,1.1125,39999.4609375,1400,1400,1400,1400,1400,1400,1400,1400,93.62519836425781,94.00481414794922,95.36927795410156,93.0897445678711,95.71353912353516,93.17927551269531,93.79733276367188,97.03374481201172,14964924416,11811160064,12109963264,555507712
200,1740629328159,3500.189224243164,3675,0,1.125,40002.39669799805,1400,1400,1400,1400,1400,1400,1400,1400,94.37300109863281,95.21979522705078,95.66320037841797,93.7682876586914,97.86119842529297,96.01463317871094,96.90550231933594,97.6675033569336,14964924416,11811160064,12124098560,574459904
200,1740629328360,3500.623321533203,2920,0,1.1,40004.747634887695,1400,1400,1400,1400,1400,1400,1400,1400,94.18509674072266,94.31718444824219,94.64960479736328,90.85175323486328,93.65052032470703,90.28592681884766,91.25080871582031,96.45502471923828,14964924416,11811160064,12126683136,578781184
199,1740629328561,2743.7550354003906,3675,0,1.15,40007.34017944336,1400,1400,1400,1400,1400,1400,1400,1400,85.27167510986328,82.7171401977539,86.57552337646484,85.99092102050781,86.28302001953125,87.33590698242188,83.27635192871094,91.59703826904297,14964924416,11811160064,12116594688,559464448
