Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740628282503,3148.5125885009766,1400,2,1.2625,36430.73237609863,1400,1400,1400,1400,1400,1400,1400,1400,41.62006378173828,33.900245666503906,47.8809814453125,38.41762161254883,29.265060424804688,14.187454223632813,29.97064208984375,14.950286865234375,14964924416,11811160064,11953295360,307724288
199,1740628282504,2449.6729278564453,1400,2,1.2625,36430.76629638672,1400,1400,1400,1400,1400,1400,1400,1400,29.509536743164063,0,100,35.8175048828125,0,0,0,0,14964924416,11811160064,11953340416,307724288
196,1740628282707,3148.563751220703,1400,2,1.2625,36431.43782043457,1400,1400,1400,1400,1400,1400,1400,1400,47.790794372558594,46.891300201416016,79.91634368896484,33.820289611816406,62.704647064208984,43.71652603149414,51.05649185180664,48.49162292480469,14964924416,11811160064,11954077696,342777856
199,1740628282904,3240.0071411132813,1400,2,1.2625,36432.10932922363,1400,1400,1400,1400,1400,1400,1400,1400,37.83781051635742,50.51517105102539,41.4779052734375,73.03155517578125,40.11103057861328,44.91778564453125,41.414459228515625,79.34808349609375,14964924416,11811160064,11957174272,347189248
199,1740628283104,2449.8125762939453,1400,2,1.2625,36432.70225524902,1400,1400,1400,1400,1400,1400,1400,1400,18.951622009277344,37.56023025512695,31.497207641601563,12.869842529296875,44.37611770629883,17.890365600585938,50.487525939941406,13.704177856445313,14964924416,11811160064,11973791744,397262848
