Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740628766108,3409.111770629883,1400,2,1.275,38079.83773803711,1400,1400,1400,1400,1400,1400,1400,1400,51.549476623535156,10.563064575195313,21.178062438964844,36.48965072631836,27.885597229003906,13.353874206542969,49.49324417114258,16.803855895996094,14964924416,11811160064,11996491776,367284224
199,1740628766109,3409.114517211914,1400,2,1.275,38079.87307739258,1400,1400,1400,1400,1400,1400,1400,1400,3.3830032348632813,84.67286682128906,99.0616455078125,6.962486267089844,77.78875732421875,42.57477951049805,41.75989532470703,22.85112762451172,14964924416,11811160064,11996459008,367284224
196,1740628766313,3409.1698303222656,1400,2,1.275,38080.56915283203,1400,1400,1400,1400,1400,1400,1400,1400,78.83470916748047,42.699092864990234,67.70027160644531,41.19409942626953,70.34947204589844,46.049232482910156,60.6496467590332,52.19556427001953,14964924416,11811160064,11998527488,398815232
199,1740628766509,3313.6690063476563,1400,2,1.275,38081.23596191406,1400,1400,1400,1400,1400,1400,1400,1400,30.347610473632813,63.183837890625,42.957298278808594,23.15337371826172,27.607643127441406,90.33284759521484,36.08687973022461,48.91436004638672,14964924416,11811160064,12003094528,411930624
199,1740628766710,3313.7293853759766,1400,2,1.275,38082.00650024414,1400,1400,1400,1400,1400,1400,1400,1400,64.83183288574219,70.27630615234375,90.8477783203125,65.08197021484375,91.65802764892578,54.53146743774414,68.09881591796875,71.3997802734375,14964924416,11811160064,12016476160,428036096
