Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740607154999,1609,1609,1609,1609,1609,1609,1609,1609,61.27783203125,34.93077087402344,90.72699737548828,34.27330017089844,83.74993896484375,38.0804557800293,46.48039627075195,43.380374908447266,352.098388671875,2516.8257446289063,1975.6300048828125,2.939208984375,16883044352,34359738368,6716874752,0
199,1740607155001,1609,1609,1609,1609,1609,1609,1609,1609,97.79286193847656,24.008766174316406,92.12657928466797,26.446075439453125,44.0511360168457,53.8560791015625,88.0135726928711,65.95685577392578,352.10784912109375,2516.8646850585938,1975.6633911132813,2.939208984375,16883044352,34359738368,6716633088,0
199,1740607155201,1609,1609,1609,1609,1609,1609,1609,1609,7.21160888671875,15.134033203125,70.00498962402344,5.1796875,23.99956512451172,9.672203063964844,24.016494750976563,24.54753875732422,352.263916015625,2518.9070434570313,1977.533447265625,2.93951416015625,16883044352,34359738368,6758105088,0
200,1740607155400,1609,1609,1609,1609,1609,1609,1609,1609,55.312713623046875,53.83513641357422,72.98126220703125,56.122711181640625,65.56465911865234,52.872589111328125,57.31367111206055,65.34672546386719,352.55902099609375,2522.9981079101563,1981.2718505859375,2.93951416015625,16883044352,34359738368,6809751552,0
200,1740607155601,1609,1609,1609,1609,1609,1609,1609,1609,90.01161193847656,88.31041717529297,93.40452575683594,89.89585876464844,91.00180053710938,90.48298645019531,90.76740264892578,87.56214904785156,352.97003173828125,2528.5325317382813,1986.53564453125,2.93951416015625,16883044352,34359738368,6811922432,0
199,1740607155802,1609,1609,1609,1609,1609,1609,1609,1609,90.8616943359375,89.13902282714844,91.76038360595703,90.11397552490234,92.37870788574219,90.49580383300781,91.7124252319336,88.87812042236328,353.34051513671875,2534.3650512695313,1992.1143188476563,2.94036865234375,16883044352,34359738368,6811746304,0
200,1740607156002,1609,1609,1609,1609,1609,1609,1609,1609,89.07564544677734,85.33428955078125,87.77363586425781,89.27802276611328,88.79264831542969,87.62698364257813,90.01056671142578,87.9020767211914,353.7244873046875,2539.931396484375,1997.3131713867188,2.94097900390625,16883044352,34359738368,6813052928,0
10,1740607156202,1609,1609,1609,1609,1609,1609,1609,1609,39.55303192138672,39.07793045043945,73.10237121582031,37.80915069580078,40.1459846496582,38.539608001708984,38.699440002441406,40.53706741333008,353.93939208984375,2542.3283081054688,1999.517578125,2.94097900390625,16883044352,34359738368,6723989504,0
