Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740617657571,346.21372985839844,1400,2,1.2625,4981.48762512207,1400,1400,1400,1400,1400,1400,1400,1400,68.38568115234375,59.20673751831055,81.51709747314453,54.126121520996094,63.172035217285156,83.41134643554688,66.21573638916016,69.1580581665039,14964924416,11811160064,11604885504,0
199,1740617657572,503.95875549316406,1400,2,1.2625,4981.5400390625,1400,1400,1400,1400,1400,1400,1400,1400,99.63357543945313,47.20334243774414,85.86053466796875,59.41651916503906,45.477516174316406,92.22119903564453,31.324066162109375,95.33719635009766,14964924416,11811160064,11592294400,0
196,1740617657775,504.02992248535156,1400,2,1.2625,4982.393417358398,1400,1400,1400,1400,1400,1400,1400,1400,69.06011962890625,74.60588836669922,79.63733673095703,73.94438171386719,57.2835807800293,81.80220794677734,61.077842712402344,70.92495727539063,14964924416,11811160064,11612565504,0
199,1740617657972,504.1014709472656,1400,2,1.2625,4983.255813598633,1400,1400,1400,1400,1400,1400,1400,1400,84.00979614257813,75.2198486328125,91.23945617675781,83.11751556396484,87.34292602539063,83.75989532470703,89.98389434814453,84.21366882324219,14964924416,11811160064,11617116160,20635648
199,1740617658172,346.4305725097656,1400,2,1.2625,4984.13688659668,1400,1400,1400,1400,1400,1400,1400,1400,71.75894927978516,70.59286499023438,76.9490966796875,77.49137115478516,72.77679443359375,70.06585693359375,81.71220397949219,70.68024444580078,14964924416,11811160064,11622522880,37580800
201,1740617658372,346.4936981201172,1400,2,1.2625,4984.881256103516,1400,1400,1400,1400,1400,1400,1400,1400,66.8377914428711,42.445396423339844,68.32231140136719,64.87042236328125,73.05223083496094,55.5715446472168,65.50077819824219,56.81435012817383,14964924416,11811160064,11619397632,53047296
200,1740617658574,504.3145446777344,1400,2,1.2625,4985.895767211914,1400,1400,1400,1400,1400,1400,1400,1400,84.28681182861328,88.21937561035156,93.59748077392578,85.53791046142578,92.70983123779297,82.90119934082031,88.96312713623047,89.19154357910156,14964924416,11811160064,11660845056,91668480
192,1740617658784,517.9545135498047,1400,2,1.2625,4986.949569702148,1400,1400,1400,1400,1400,1400,1400,1400,99.4057846069336,99.7109375,99.90503692626953,99.88660430908203,99.16478729248047,99.37755584716797,98.8667221069336,99.58511352539063,14964924416,11811160064,11660226560,91824128
198,1740617658978,433.58058166503906,1400,2,1.2625,4987.854873657227,1400,1400,1400,1400,1400,1400,1400,1400,97.44550323486328,97.94556427001953,97.8875503540039,97.55330657958984,98.7646255493164,97.46443939208984,99.1547622680664,97.76331329345703,14964924416,11811160064,11661950976,110342144
198,1740617659179,504.5946807861328,1700,2,0.69375,4989.154541015625,1400,1400,1400,1400,1400,1400,1400,1400,97.89204406738281,98.51323699951172,97.6728286743164,98.27236938476563,98.84101104736328,98.21697235107422,97.9814224243164,97.69502258300781,14964924416,11811160064,11671564288,116310016
210,1740617659378,346.9586181640625,1700,2,0.69375,4990.029220581055,1400,1400,1400,1400,1400,1400,1400,1400,98.82743072509766,98.29393005371094,98.71452331542969,99.76837158203125,99.14125061035156,98.86019134521484,99.27446746826172,99.353271484375,14964924416,11811160064,11661430784,88338432
198,1740617659590,518.3566131591797,1700,2,0.69375,4991.230667114258,1400,1400,1400,1400,1400,1400,1400,1400,98.7003173828125,98.35686492919922,99.77604675292969,98.5065689086914,98.55829620361328,98.88170623779297,99.3128662109375,98.6141357421875,14964924416,11811160064,11662864384,93544448
199,1740617659789,347.5264434814453,3525,0,0.70625,4993.657165527344,1400,1400,1400,1400,1400,1400,1400,1400,99.2107162475586,99.2501220703125,99.17274475097656,98.96309661865234,99.40121459960938,99.3315200805664,99.85189819335938,99.62985229492188,14964924416,11811160064,11679797248,119660544
199,1740617659989,519.3449554443359,3550,0,1.0375,4996.532623291016,1400,1400,1400,1400,1400,1400,1400,1400,95.5761489868164,95.97535705566406,95.88706970214844,94.46942138671875,95.95207214355469,96.17984771728516,96.42383575439453,95.38450622558594,14964924416,11811160064,11663007744,96514048
199,1740617660189,506.2026672363281,3200,0,1.2875,4998.889556884766,1400,1400,1400,1400,1400,1400,1400,1400,88.7108383178711,80.49595642089844,87.24597930908203,79.6011734008789,90.96340942382813,80.65565490722656,86.66395568847656,82.22679138183594,14964924416,11811160064,11654402048,86441984
6,1740617660390,520.2605895996094,4000,0,1.2875,5001.288635253906,1400,1400,1400,1400,1400,1400,1400,1400,57.697998046875,28.689971923828125,48.74162673950195,34.39772033691406,37.64034652709961,27.96857452392578,39.1032600402832,30.329185485839844,14964924416,11811160064,11617374208,0
