Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740621999754,56117.246002197266,5100,0,0.08125000000000004,398029.2901611328,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,38.36320495605469,35.75196838378906,75.10210418701172,30.113189697265625,51.20405578613281,29.386810302734375,33.74293518066406,31.533653259277344,66.10273742675781,60.285240173339844,36.06993865966797,29.516006469726563,37.860050201416016,60.900367736816406,31.51355743408203,29.15569305419922,64091443200,4026531840,8336580608,0
189,1740621999765,37217.285079956055,5100,0,0.06874999999999987,398029.7666320801,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0,0,88.32527160644531,0,17.540313720703125,0,0,0,0,64.58164978027344,0,0,62.583492279052734,0,0,0,64091443200,4026531840,8336760832,0
199,1740621999955,37218.21293640137,4975,0,0.31874999999999987,398036.5512084961,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,22.948577880859375,20.220703125,63.7805290222168,38.003501892089844,36.11366653442383,30.90898895263672,31.492919921875,31.184982299804688,24.11042022705078,27.17413330078125,25.781112670898438,29.14636993408203,46.61825180053711,38.08517074584961,21.55242156982422,27.594039916992188,64091443200,4026531840,8513171456,0
199,1740622000155,30978.48191833496,4475,0,0.23124999999999996,398048.7060546875,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,68.32987213134766,67.00860595703125,85.56137084960938,85.24063110351563,80.98934936523438,82.10807037353516,76.96419525146484,78.56844329833984,67.35791778564453,57.57600402832031,76.5227279663086,74.76039123535156,87.3491439819336,83.74266052246094,72.03297424316406,71.56395721435547,64091443200,4026531840,8518885376,0
200,1740622000355,25449.791290283203,4500,0,0.4437500000000001,398060.6639404297,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,71.07735443115234,70.50456237792969,87.339111328125,91.71867370605469,82.30702209472656,83.7652587890625,80.8578109741211,83.02131652832031,58.8407096862793,64.0626449584961,76.72480010986328,76.1804428100586,89.8525619506836,87.94286346435547,71.7081298828125,77.17753601074219,64091443200,4026531840,8520093696,0
200,1740622000556,23737.70718383789,4325,0,0.4750000000000001,398072.98208618164,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,81.02655029296875,75.01232147216797,91.9992904663086,93.17754364013672,87.76634979248047,85.77088928222656,86.87387084960938,87.35194396972656,71.2923583984375,68.26221466064453,80.53717041015625,86.52953338623047,91.6867904663086,90.84003448486328,86.08905029296875,81.690185546875,64091443200,4026531840,8524226560,0
200,1740622000756,24603.927612304688,4600,0,0.26249999999999996,398084.6909790039,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,64.60529327392578,61.43633270263672,87.94615173339844,83.49100494384766,78.41109466552734,77.87972259521484,73.07391357421875,76.8668212890625,54.61739730834961,58.39752960205078,72.0015640258789,73.27143859863281,83.11367797851563,86.98870849609375,67.99728393554688,76.09114837646484,64091443200,4026531840,8526610432,0
200,1740622000956,20048.503494262695,4400,0,0.45625000000000004,398096.73544311523,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,73.81713104248047,78.09210205078125,90.68203735351563,86.47467041015625,84.55418395996094,83.70269775390625,83.03646087646484,85.81611633300781,67.51121520996094,69.99032592773438,84.538818359375,78.29132080078125,88.36776733398438,86.84210968017578,77.74012756347656,80.93701171875,64091443200,4026531840,8526536704,0
5,1740622001157,56128.82832336426,5125,0,0.28749999999999987,398101.3842315674,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,19.029937744140625,24.296669006347656,28.090538024902344,23.332008361816406,20.535682678222656,23.910873413085938,21.685546875,21.304595947265625,17.397438049316406,25.664825439453125,18.943283081054688,20.4228515625,29.704269409179688,23.167129516601563,19.091773986816406,19.310211181640625,64091443200,4026531840,8331354112,0
