Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740623912663,1856.4944763183594,1400,2,0.8625,22435.489028930664,1400,1400,1400,1400,1400,1400,1400,1400,73.28981018066406,96.96552276611328,96.80908203125,86.44873046875,84.99765014648438,91.90413665771484,0,0,14964924416,11811160064,11846418432,204279808
198,1740623912664,1906.9384765625,1400,2,0.8625,22435.563049316406,1400,1400,1400,1400,1400,1400,1400,1400,98.64956665039063,100,100,76.72615814208984,100,100,2.9921875,2.9894638061523438,14964924416,11811160064,11846893568,206438400
196,1740623912867,1907.0064544677734,1400,2,0.8625,22436.364822387695,1400,1400,1400,1400,1400,1400,1400,1400,88.18156433105469,90.03397369384766,89.13004302978516,91.11569213867188,88.73782348632813,98.21244812011719,52.12864685058594,46.4854621887207,14964924416,11811160064,11850969088,235356160
199,1740623913064,907.4607543945313,1400,2,0.8625,22437.287872314453,1400,1400,1400,1400,1400,1400,1400,1400,92.77236938476563,91.77101135253906,94.31079864501953,87.20204162597656,90.79618835449219,94.18201446533203,93.60966491699219,98.36986541748047,14964924416,11811160064,11853791232,244609024
199,1740623913264,1408.9067993164063,1700,2,0.7,22438.1580657959,1400,1400,1400,1400,1400,1400,1400,1400,95.74961853027344,93.54344940185547,95.0892333984375,99.11402893066406,97.43515014648438,97.86045837402344,95.07730865478516,99.76054382324219,14964924416,11811160064,11872305152,269553664
199,1740623913464,1856.8180541992188,1700,2,0.7,22439.075744628906,1400,1400,1400,1400,1400,1400,1400,1400,89.67646026611328,77.62273406982422,76.9931869506836,93.55109405517578,76.22391510009766,73.48577880859375,84.62395477294922,83.06484985351563,14964924416,11811160064,11869978624,294293504
202,1740623913667,907.7169647216797,1700,2,0.70625,22440.31869506836,1400,1400,1400,1400,1400,1400,1400,1400,91.58356475830078,71.65507507324219,89.66596984863281,72.5717544555664,86.49584197998047,65.91947937011719,81.69674682617188,65.86556243896484,14964924416,11811160064,11920994304,354725888
192,1740623913877,1907.4549255371094,1700,2,0.7,22441.15704345703,1400,1400,1400,1400,1400,1400,1400,1400,95.72196960449219,97.89093017578125,94.74983215332031,94.24352264404297,95.78913879394531,93.30371856689453,93.72321319580078,96.6444091796875,14964924416,11811160064,11923488768,355086336
193,1740623914077,1907.5807037353516,1700,2,0.7,22442.452865600586,1400,1400,1400,1400,1400,1400,1400,1400,98.83686065673828,98.61860656738281,98.79634857177734,99.14649200439453,98.9561538696289,99.13011932373047,99.56253051757813,99.29544067382813,14964924416,11811160064,11935830016,386908160
200,1740623914271,1907.9664459228516,3525,0,1.0875,22444.63719177246,1400,1400,1400,1400,1400,1400,1400,1400,94.51879119873047,97.10872650146484,96.26520538330078,94.51789093017578,98.02227020263672,98.24642944335938,93.65301513671875,95.31514739990234,14964924416,11811160064,11966087168,385523712
200,1740623914471,1908.4298858642578,3575,0,1.0375,22447.127334594727,1400,1400,1400,1400,1400,1400,1400,1400,96.8540267944336,97.16368865966797,97.622802734375,97.44750213623047,96.86196899414063,94.79297637939453,97.96253204345703,95.62055969238281,14964924416,11811160064,11966513152,384475136
200,1740623914673,1908.9217834472656,3500,0,1.0375,22449.783798217773,1400,1400,1400,1400,1400,1400,1400,1400,98.22222137451172,98.8016357421875,98.8956069946289,99.11470794677734,98.89653778076172,99.2122802734375,99.19074249267578,99.46880340576172,14964924416,11811160064,11965878272,385409024
200,1740623914874,1858.9692687988281,3500,0,1.0375,22452.598541259766,1400,1400,1400,1400,1400,1400,1400,1400,97.52923583984375,96.2593765258789,97.0281753540039,97.15022277832031,97.32979583740234,97.73294067382813,98.44337463378906,97.40962219238281,14964924416,11811160064,11965845504,388288512
197,1740623915078,1909.9421844482422,3600,0,1.0625,22455.269454956055,1400,1400,1400,1400,1400,1400,1400,1400,98.80406188964844,97.8375015258789,97.04032135009766,95.83878326416016,95.64107513427734,97.07622528076172,97.8013916015625,98.76800537109375,14964924416,11811160064,11967250432,388210688
199,1740623915276,1910.411117553711,3675,0,1.075,22457.7774810791,1400,1400,1400,1400,1400,1400,1400,1400,98.88591766357422,97.78215026855469,97.49781036376953,98.10841369628906,98.14146423339844,97.64877319335938,99.0200424194336,98.78214263916016,14964924416,11811160064,11965218816,384299008
202,1740623915477,1412.6112670898438,3675,0,1.075,22461.12077331543,1400,1400,1400,1400,1400,1400,1400,1400,96.82217407226563,97.30614471435547,96.51162719726563,96.44355773925781,96.66515350341797,97.83191680908203,97.14032745361328,98.19109344482422,14964924416,11811160064,11965419520,385794048
202,1740623915680,1911.465072631836,3575,0,1.05,22463.57554626465,1400,1400,1400,1400,1400,1400,1400,1400,99.72233581542969,99.85102844238281,99.71214294433594,99.68045806884766,99.74111938476563,99.64595031738281,99.82798767089844,99.75949096679688,14964924416,11811160064,11968753664,401772544
200,1740623915883,1861.427505493164,3600,0,1.06875,22466.14680480957,1400,1400,1400,1400,1400,1400,1400,1400,99.54867553710938,98.69937896728516,99.59819030761719,99.13597869873047,98.83165740966797,99.49300384521484,99.18744659423828,98.43759155273438,14964924416,11811160064,11975925760,410546176
198,1740623916085,1861.9776306152344,3575,0,1.0375,22469.206604003906,1400,1400,1400,1400,1400,1400,1400,1400,99.75679016113281,98.52455139160156,97.70877838134766,98.39151000976563,97.96280670166016,98.49839782714844,99.66426849365234,97.44430541992188,14964924416,11811160064,11971420160,392232960
