Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740623315984,1298.5651092529297,1400,2,1.30625,20692.058044433594,1400,1400,1400,1400,1400,1400,1400,1400,66.05461120605469,41.1912956237793,68.64578247070313,46.858428955078125,58.40503692626953,63.404296875,8.0938720703125,8.092765808105469,14964924416,11811160064,11729399808,130506752
200,1740623315985,1753.3172149658203,1400,2,1.30625,20692.11114501953,1400,1400,1400,1400,1400,1400,1400,1400,72.58116149902344,72.30828094482422,99.4027328491211,93.59056854248047,67.59032440185547,98.34597778320313,0,0,14964924416,11811160064,11729068032,129458176
196,1740623316190,1710.7960968017578,1400,2,1.30625,20692.711196899414,1400,1400,1400,1400,1400,1400,1400,1400,44.34229278564453,46.65070724487305,61.43777084350586,50.05485916137695,54.30773162841797,61.00230407714844,0,0,14964924416,11811160064,11730821120,163586048
199,1740623316387,1710.8471984863281,1400,2,1.30625,20693.306869506836,1400,1400,1400,1400,1400,1400,1400,1400,58.80841827392578,46.02659225463867,69.12174224853516,47.42216110229492,56.29957962036133,46.52393341064453,10.705535888671875,8.982742309570313,14964924416,11811160064,11736256512,168820736
201,1740623316587,836.6520385742188,1400,2,1.30625,20693.893630981445,1400,1400,1400,1400,1400,1400,1400,1400,26.91075897216797,31.077804565429688,35.81416320800781,21.038124084472656,36.936866760253906,37.76991271972656,45.581214904785156,35.84344482421875,14964924416,11811160064,11746848768,185368576
199,1740623316789,836.7420043945313,1400,2,1.30625,20694.99671936035,1400,1400,1400,1400,1400,1400,1400,1400,61.81634521484375,54.004722595214844,80.5947036743164,62.19982147216797,65.26627349853516,53.95398712158203,73.1048355102539,56.169273376464844,14964924416,11811160064,11819356160,281702400
200,1740623316989,1298.8586883544922,1400,2,1.30625,20695.5255279541,1400,1400,1400,1400,1400,1400,1400,1400,95.76557159423828,98.12923431396484,96.10597229003906,96.97258758544922,96.46097564697266,97.94115447998047,99.29113006591797,97.641845703125,14964924416,11811160064,11830284288,294502400
201,1740623317191,1753.7058563232422,1400,2,1.30625,20696.49122619629,1400,1400,1400,1400,1400,1400,1400,1400,96.3343505859375,95.8962631225586,96.16959381103516,97.10951232910156,97.11370849609375,97.52911376953125,96.71814727783203,98.901611328125,14964924416,11811160064,11841892352,304644096
199,1740623317393,1299.0431671142578,1700,2,0.6875,20697.572143554688,1400,1400,1400,1400,1400,1400,1400,1400,98.09305572509766,98.13534545898438,99.34906005859375,98.34928894042969,99.44481658935547,99.58672332763672,99.93002319335938,99.84963989257813,14964924416,11811160064,11826155520,283631616
200,1740623317593,1753.9094696044922,1700,2,0.6875,20698.646270751953,1400,1400,1400,1400,1400,1400,1400,1400,96.16026306152344,88.13432312011719,90.89381408691406,91.08573913574219,91.03218078613281,95.57052612304688,93.01429748535156,88.54402160644531,14964924416,11811160064,11829854208,281296896
204,1740623317794,1711.3912506103516,1700,2,0.6875,20699.603591918945,1400,1400,1400,1400,1400,1400,1400,1400,91.24617767333984,89.29743957519531,95.57498931884766,89.36296081542969,92.64483642578125,92.13455200195313,93.19459533691406,92.19295501708984,14964924416,11811160064,11831885824,281296896
199,1740623317999,1299.5407409667969,3550,0,1.0437500000000002,20701.620681762695,1400,1400,1400,1400,1400,1400,1400,1400,92.51604461669922,94.4228286743164,94.39645385742188,93.18923950195313,92.90159606933594,91.97476959228516,96.00839233398438,92.21142578125,14964924416,11811160064,11831828480,283287552
