Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740621009080,589.3873138427734,1400,2,1.275,14076.928649902344,1400,1400,1400,1400,1400,1400,1400,1400,15.972747802734375,10.108306884765625,52.54673767089844,0,24.74164581298828,25.55908203125,48.24693298339844,3.9729995727539063,14964924416,11811160064,11788517376,220454912
199,1740621009081,589.3900146484375,1400,2,1.275,14076.96304321289,1400,1400,1400,1400,1400,1400,1400,1400,64.45532989501953,60.17313766479492,100,39.61772537231445,53.21338653564453,44.90566635131836,99.21923065185547,45.46842956542969,14964924416,11811160064,11788546048,220323840
194,1740621009287,1184.037612915039,1400,2,1.275,14077.612014770508,1400,1400,1400,1400,1400,1400,1400,1400,47.32205581665039,50.528263092041016,85.78971862792969,40.628658294677734,64.46237182617188,45.963558197021484,13.942268371582031,5.937034606933594,14964924416,11811160064,11791216640,254537728
200,1740621009482,589.4506988525391,1400,2,1.275,14078.297302246094,1400,1400,1400,1400,1400,1400,1400,1400,54.84751510620117,74.69867706298828,70.24189758300781,57.0707893371582,75.99226379394531,55.851959228515625,43.055816650390625,37.39080047607422,14964924416,11811160064,11806040064,283365376
199,1740621009682,1213.605697631836,1400,2,1.275,14079.043655395508,1400,1400,1400,1400,1400,1400,1400,1400,50.67117691040039,61.371849060058594,59.38399124145508,65.42257690429688,56.36909484863281,42.26320266723633,49.73569869995117,53.9207763671875,14964924416,11811160064,11799900160,280567808
