Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740620131554,1609,1609,1609,1609,1609,1609,1609,1609,9.453071594238281,0,85.84615325927734,0,0,0,43.41665267944336,0,5277.4730224609375,21915.23992919922,16446.11981201172,19.934326171875,16883044352,34359738368,6642151424,0
199,1740620131555,1609,1609,1609,1609,1609,1609,1609,1609,58.66903305053711,56.25288009643555,99.0154800415039,52.496036529541016,95.73163604736328,60.723960876464844,99.6678237915039,71.8966064453125,5277.4830322265625,21915.281494140625,16446.154418945313,19.934326171875,16883044352,34359738368,6642429952,0
199,1740620131756,1609,1609,1609,1609,1609,1609,1609,1609,13.26361083984375,8.020401000976563,48.23872756958008,20.38495635986328,19.927528381347656,18.5986328125,22.501060485839844,33.75154113769531,5277.6400146484375,21917.270751953125,16447.930114746094,19.9346923828125,16883044352,34359738368,6682845184,0
9,1740620131956,1609,1609,1609,1609,1609,1609,1609,1609,4.928398132324219,3.5563507080078125,23.308021545410156,2.8656387329101563,11.402107238769531,5.071235656738281,4.0385284423828125,14.395072937011719,5277.745544433594,21918.09503173828,16448.540405273438,19.9351806640625,16883044352,34359738368,6641278976,0
