Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740613372635,1609,1609,1609,1609,1609,1609,1609,1609,74.76278686523438,37.41061019897461,71.61251068115234,39.68678283691406,89.1186294555664,38.236663818359375,50.82234573364258,36.59493637084961,2540.0881958007813,9882.058898925781,7089.3363037109375,11.07574462890625,16883044352,34359738368,6560604160,0
198,1740613372637,1609,1609,1609,1609,1609,1609,1609,1609,100,100,100,100,100,100,100,100,2540.0982666015625,9882.107849121094,7089.368408203125,11.07574462890625,16883044352,34359738368,6560632832,0
199,1740613372836,1609,1609,1609,1609,1609,1609,1609,1609,20.409866333007813,18.051612854003906,60.02342224121094,16.38086700439453,23.28998565673828,20.765052795410156,39.01236343383789,35.20661163330078,2540.2509155273438,9884.130249023438,7091.173400878906,11.07574462890625,16883044352,34359738368,6601445376,0
200,1740613373036,1609,1609,1609,1609,1609,1609,1609,1609,41.495635986328125,38.38044738769531,44.59910202026367,44.596710205078125,59.298004150390625,40.36212921142578,41.231056213378906,53.2643928527832,2540.5546875,9887.54833984375,7094.277893066406,11.076171875,16883044352,34359738368,6676582400,0
199,1740613373236,1609,1609,1609,1609,1609,1609,1609,1609,47.58895492553711,46.24380874633789,47.10262680053711,43.79946517944336,54.49985122680664,27.46709442138672,43.143489837646484,34.33637237548828,2540.8245849609375,9891.124572753906,7097.605285644531,11.07659912109375,16883044352,34359738368,6676217856,0
200,1740613373437,1609,1609,1609,1609,1609,1609,1609,1609,66.91975402832031,55.16069030761719,66.60009765625,67.33154296875,72.73199462890625,65.13540649414063,70.1158218383789,60.504241943359375,2541.2487182617188,9895.541625976563,7101.753845214844,11.07659912109375,16883044352,34359738368,6676824064,0
200,1740613373637,1609,1609,1609,1609,1609,1609,1609,1609,59.52522659301758,51.66901397705078,65.91685485839844,66.41876220703125,67.2059326171875,47.780338287353516,66.15380859375,45.13517379760742,2541.6188354492188,9899.046752929688,7105.020690917969,11.07745361328125,16883044352,34359738368,6678335488,0
200,1740613373837,1609,1609,1609,1609,1609,1609,1609,1609,45.4533805847168,39.30064010620117,56.73965072631836,51.19232940673828,50.955718994140625,38.26922607421875,55.139427185058594,40.27619552612305,2541.95263671875,9902.818664550781,7108.569274902344,11.07745361328125,16883044352,34359738368,6679080960,0
200,1740613374038,1609,1609,1609,1609,1609,1609,1609,1609,59.45088195800781,49.517494201660156,60.58573532104492,51.8023681640625,63.580169677734375,53.254737854003906,63.79724884033203,52.03984069824219,2542.3118286132813,9906.877624511719,7112.380920410156,11.07794189453125,16883044352,34359738368,6678978560,0
200,1740613374238,1609,1609,1609,1609,1609,1609,1609,1609,33.54536437988281,38.813270568847656,34.49427032470703,57.77164077758789,43.068809509277344,37.871604919433594,57.473915100097656,31.51537322998047,2542.57080078125,9910.521728515625,7115.823913574219,11.078369140625,16883044352,34359738368,6678687744,0
200,1740613374438,1609,1609,1609,1609,1609,1609,1609,1609,48.93873977661133,40.200843811035156,74.1866683959961,45.91726303100586,51.99852752685547,41.328853607177734,56.808013916015625,33.869407653808594,2542.8367309570313,9914.473022460938,7119.549621582031,11.078369140625,16883044352,34359738368,6679257088,0
200,1740613374639,1609,1609,1609,1609,1609,1609,1609,1609,62.07198715209961,50.199771881103516,62.227230072021484,69.2808609008789,69.7439193725586,47.540470123291016,63.950382232666016,59.3239860534668,2543.2163696289063,9918.932983398438,7123.719055175781,11.07879638671875,16883044352,34359738368,6679101440,0
200,1740613374839,1609,1609,1609,1609,1609,1609,1609,1609,65.63847351074219,62.02997970581055,64.91586303710938,61.988853454589844,68.4921646118164,52.73419189453125,71.12481689453125,65.94847106933594,2543.6145629882813,9923.150573730469,7127.6976318359375,11.07879638671875,16883044352,34359738368,6680313856,0
200,1740613375040,1609,1609,1609,1609,1609,1609,1609,1609,60.40616989135742,32.743377685546875,45.29647445678711,42.397850036621094,64.19140625,36.01994323730469,55.33074188232422,42.46514892578125,2543.8934326171875,9927.099426269531,7131.411804199219,11.07879638671875,16883044352,34359738368,6681276416,0
200,1740613375240,1609,1609,1609,1609,1609,1609,1609,1609,57.083072662353516,46.22866439819336,56.464630126953125,53.65146255493164,54.37305450439453,53.879478454589844,47.47328567504883,44.6796875,2544.2312622070313,9931.119140625,7135.2027587890625,11.07916259765625,16883044352,34359738368,6680895488,0
200,1740613375440,1609,1609,1609,1609,1609,1609,1609,1609,62.47590637207031,48.015132904052734,55.323341369628906,57.3110237121582,55.977725982666016,56.391700744628906,51.850067138671875,48.32223892211914,2544.560546875,9935.166870117188,7139.027160644531,11.0797119140625,16883044352,34359738368,6680346624,0
200,1740613375641,1609,1609,1609,1609,1609,1609,1609,1609,67.68862915039063,59.908084869384766,64.02848815917969,63.306610107421875,63.97438430786133,56.56397247314453,65.53573608398438,56.97117614746094,2544.9554443359375,9939.377624511719,7142.98974609375,11.08056640625,16883044352,34359738368,6682419200,0
200,1740613375841,1609,1609,1609,1609,1609,1609,1609,1609,58.12849807739258,50.68938446044922,51.58763885498047,50.430416107177734,61.030704498291016,46.60484313964844,65.73194885253906,46.00437927246094,2545.2957153320313,9943.544982910156,7146.925598144531,11.08056640625,16883044352,34359738368,6682431488,0
200,1740613376042,1609,1609,1609,1609,1609,1609,1609,1609,37.14265823364258,33.0230712890625,58.40764236450195,36.84076690673828,45.907474517822266,38.33492660522461,42.55759811401367,35.13245391845703,2545.576904296875,9946.081298828125,7149.179931640625,11.08056640625,16883044352,34359738368,6592516096,0
10,1740613376243,1609,1609,1609,1609,1609,1609,1609,1609,0,1.3703079223632813,7.104148864746094,0,1.390777587890625,5.915184020996094,0,4.108329772949219,2545.6412353515625,9946.20849609375,7149.228088378906,11.08087158203125,16883044352,34359738368,6566645760,0
