Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740612035496,1609,1609,1609,1609,1609,1609,1609,1609,48.87492370605469,40.341854095458984,97.49219512939453,32.83384704589844,60.01504135131836,41.964515686035156,72.2939453125,43.919105529785156,2042.28857421875,7959.623291015625,5670.129333496094,9.3614501953125,16883044352,34359738368,6713241600,0
199,1740612035497,1609,1609,1609,1609,1609,1609,1609,1609,0,0,84.17020416259766,0,15.104835510253906,0,98.40383911132813,0,2042.296142578125,7959.67578125,5670.1722412109375,9.3614501953125,16883044352,34359738368,6713180160,0
199,1740612035697,1609,1609,1609,1609,1609,1609,1609,1609,6.312263488769531,19.138397216796875,55.882686614990234,5.818473815917969,17.035377502441406,21.944610595703125,17.345252990722656,35.1405029296875,2042.45166015625,7961.804016113281,5672.051452636719,9.3614501953125,16883044352,34359738368,6755479552,0
200,1740612035897,1609,1609,1609,1609,1609,1609,1609,1609,47.195098876953125,42.56606674194336,47.16199493408203,49.65499496459961,68.08372497558594,42.421085357666016,46.14681625366211,48.41620635986328,2042.77685546875,7965.4483642578125,5675.369934082031,9.3619384765625,16883044352,34359738368,6828441600,0
199,1740612036097,1609,1609,1609,1609,1609,1609,1609,1609,55.99800109863281,33.35377502441406,51.057655334472656,42.0517578125,44.92542266845703,35.75811004638672,45.055110931396484,34.299171447753906,2043.0560913085938,7969.119201660156,5678.7939453125,9.3623046875,16883044352,34359738368,6830452736,0
200,1740612036298,1609,1609,1609,1609,1609,1609,1609,1609,73.73969268798828,62.127010345458984,68.63308715820313,69.5113296508789,68.89924621582031,68.11749267578125,69.09442901611328,60.40533447265625,2043.4948120117188,7973.57666015625,5682.979675292969,9.3623046875,16883044352,34359738368,6831316992,0
200,1740612036498,1609,1609,1609,1609,1609,1609,1609,1609,58.58901596069336,54.58658981323242,59.6612548828125,56.63736343383789,59.321006774902344,47.96275329589844,54.922847747802734,51.39645767211914,2043.8436279296875,7977.042053222656,5686.219970703125,9.3626708984375,16883044352,34359738368,6832447488,0
199,1740612036698,1609,1609,1609,1609,1609,1609,1609,1609,46.42625045776367,45.184974670410156,52.974342346191406,46.296913146972656,59.07923889160156,43.76061248779297,53.73442077636719,48.20600891113281,2044.1988525390625,7980.9852294921875,5689.9180908203125,9.3626708984375,16883044352,34359738368,6836547584,0
200,1740612036899,1609,1609,1609,1609,1609,1609,1609,1609,56.56986999511719,44.23575210571289,59.760826110839844,54.924190521240234,64.95622253417969,49.80330276489258,58.970947265625,52.31140899658203,2044.5382080078125,7984.823547363281,5693.542907714844,9.36358642578125,16883044352,34359738368,6836334592,0
200,1740612037099,1609,1609,1609,1609,1609,1609,1609,1609,46.080135345458984,35.235694885253906,42.25897216796875,53.283992767333984,51.74826431274414,41.122806549072266,60.79110336303711,29.09246826171875,2044.8071899414063,7988.7174072265625,5697.15625,9.36358642578125,16883044352,34359738368,6838067200,0
