Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740616211337,54390.18501281738,5100,0,0.08125000000000004,373306.2063293457,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,27.387298583984375,22.26861572265625,72.6865234375,21.71575927734375,28.508377075195313,25.069778442382813,30.259201049804688,26.51764678955078,58.607643127441406,57.10133743286133,31.502540588378906,22.310134887695313,75.72835540771484,22.649993896484375,25.494224548339844,25.57495880126953,64091443200,4026531840,8343072768,0
172,1740616211364,54390.61833190918,2900,1,0.0625,373307.4919433594,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,15.110099792480469,3.0180206298828125,56.20457458496094,33.283294677734375,37.331546783447266,14.742889404296875,13.414306640625,7.341766357421875,18.485183715820313,47.253662109375,15.816917419433594,27.70587158203125,69.12883758544922,16.355201721191406,5.822120666503906,5.256858825683594,64091443200,4026531840,8354230272,0
200,1740616211537,24490.48895263672,2900,1,0.08749999999999991,373313.31329345703,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,4.260948181152344,4.9802703857421875,40.37643814086914,24.652587890625,33.02684020996094,17.333877563476563,14.525726318359375,16.833511352539063,8.307426452636719,6.044670104980469,10.587837219238281,11.823623657226563,36.45131301879883,29.242454528808594,4.119407653808594,6.911567687988281,64091443200,4026531840,8430239744,0
200,1740616211737,36206.37968444824,5050,0,0.13124999999999987,373323.3820953369,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,9.836341857910156,14.086723327636719,37.192161560058594,32.61957550048828,25.934585571289063,29.549476623535156,21.850547790527344,26.560768127441406,6.142692565917969,7.508338928222656,20.668296813964844,23.621673583984375,37.30170440673828,35.594566345214844,10.774703979492188,20.137229919433594,64091443200,4026531840,8435998720,0
200,1740616211938,54396.3157043457,2742.8571428571427,1,0.23750000000000004,373331.9016113281,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,11.588493347167969,10.244148254394531,35.480857849121094,36.17701721191406,23.689598083496094,22.492759704589844,18.58002471923828,23.502456665039063,5.7635345458984375,6.871337890625,8.495155334472656,17.659408569335938,35.49816131591797,30.265243530273438,10.71160888671875,13.740852355957031,64091443200,4026531840,8438108160,0
200,1740616212138,54398.33157348633,5050,0,0.10624999999999996,373340.5997467041,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,7.421966552734375,8.760643005371094,29.634063720703125,37.86048126220703,21.686012268066406,30.60602569580078,21.370376586914063,22.219284057617188,4.534294128417969,3.8762054443359375,19.295448303222656,18.596176147460938,36.64335250854492,34.032997131347656,12.536445617675781,14.02777099609375,64091443200,4026531840,8437583872,0
200,1740616212338,54754.58969116211,5000,0,0.11250000000000004,373350.96516418457,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,11.204536437988281,11.091781616210938,39.26546096801758,33.69081115722656,26.626014709472656,27.259353637695313,20.74535369873047,27.555572509765625,6.3738250732421875,8.015472412109375,15.216339111328125,23.474754333496094,33.86254119873047,35.23802185058594,12.430168151855469,17.072311401367188,64091443200,4026531840,8438353920,0
4,1740616212539,54400.99824523926,5125,0,0.07499999999999996,373353.03092956543,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,1.3498992919921875,0.8085250854492188,20.448814392089844,4.026947021484375,3.0970230102539063,6.277702331542969,1.365386962890625,1.3040390014648438,7.775367736816406,1.8372421264648438,0.7946929931640625,0.9592971801757813,10.179550170898438,3.7692184448242188,0.38243865966796875,0.9138336181640625,64091443200,4026531840,8353693696,0
