Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740624114847,1966.6419525146484,1400,2,1.3375,23070.916305541992,1400,1400,1400,1400,1400,1400,1400,1400,44.51999282836914,21.15478515625,44.017822265625,16.26422882080078,37.509979248046875,48.29391860961914,39.175201416015625,15.191764831542969,14964924416,11811160064,12038746112,435425280
199,1740624114848,1966.6446838378906,1400,2,1.3375,23070.950576782227,1400,1400,1400,1400,1400,1400,1400,1400,40.952674865722656,14.513114929199219,99.45806884765625,10.750602722167969,100,5.7552490234375,46.396968841552734,35.23542022705078,14964924416,11811160064,12038406144,434900992
196,1740624115051,1966.711196899414,1400,2,1.3375,23071.642532348633,1400,1400,1400,1400,1400,1400,1400,1400,57.93142318725586,39.88137435913086,80.57183074951172,48.73865509033203,54.98676300048828,50.8006706237793,72.48141479492188,45.983089447021484,14964924416,11811160064,12040642560,467382272
200,1740624115248,1455.5306243896484,1400,2,1.3375,23072.4022064209,1400,1400,1400,1400,1400,1400,1400,1400,59.33821487426758,53.55325698852539,68.87808227539063,74.04725646972656,64.61346435546875,43.03252029418945,70.06441497802734,56.91979217529297,14964924416,11811160064,12042899456,479920128
200,1740624115449,941.6285552978516,1400,2,1.3375,23073.061279296875,1400,1400,1400,1400,1400,1400,1400,1400,34.39756774902344,47.6838493347168,49.2979850769043,45.416046142578125,36.71805191040039,51.022003173828125,48.675132751464844,22.27550506591797,14964924416,11811160064,12052381696,531439616
195,1740624115654,1455.6443634033203,1400,2,1.3375,23073.864212036133,1400,1400,1400,1400,1400,1400,1400,1400,57.303401947021484,46.33027267456055,78.6272201538086,53.52533721923828,71.9666976928711,49.65031433105469,66.89102172851563,49.83618927001953,14964924416,11811160064,12115386368,589017088
199,1740624115851,1966.9740295410156,1400,2,1.3375,23074.72833251953,1400,1400,1400,1400,1400,1400,1400,1400,90.1327133178711,90.2525405883789,92.43173217773438,91.37117004394531,92.70298767089844,90.9190444946289,89.14022064208984,92.47549438476563,14964924416,11811160064,12130091008,598659072
199,1740624116051,1455.7828674316406,1400,2,1.3375,23075.586959838867,1400,1400,1400,1400,1400,1400,1400,1400,78.68803405761719,75.97394561767578,81.42073059082031,81.0424575805664,85.99720001220703,80.93803405761719,85.00180053710938,80.47148132324219,14964924416,11811160064,12134739968,599203840
199,1740624116251,1915.4674377441406,1400,2,1.3375,23076.47396850586,1400,1400,1400,1400,1400,1400,1400,1400,76.26483917236328,78.65711975097656,79.99762725830078,87.63595581054688,80.06144714355469,77.0667495727539,83.757568359375,75.342041015625,14964924416,11811160064,12139057152,623501312
199,1740624116451,1455.9252014160156,1400,2,1.3375,23077.35089111328,1400,1400,1400,1400,1400,1400,1400,1400,64.53343200683594,65.27421569824219,73.75807189941406,74.44538879394531,71.93211364746094,73.3163070678711,75.27263641357422,76.15210723876953,14964924416,11811160064,12131102720,604524544
198,1740624116653,1967.2717895507813,1400,2,1.3375,23078.318069458008,1400,1400,1400,1400,1400,1400,1400,1400,72.6016845703125,80.99310302734375,79.92744445800781,77.50924682617188,82.45117950439453,78.78345489501953,87.60536193847656,70.45742797851563,14964924416,11811160064,12138430464,603848704
199,1740624116853,1915.6786499023438,1400,2,1.3375,23079.192138671875,1400,1400,1400,1400,1400,1400,1400,1400,80.89507293701172,83.76128387451172,86.76412200927734,83.47341918945313,84.0023193359375,84.52149963378906,88.189453125,85.21145629882813,14964924416,11811160064,12137267200,604438528
