Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740617768209,1609,1609,1609,1609,1609,1609,1609,1609,36.939056396484375,22.86767578125,76.2608413696289,19.195343017578125,43.8043098449707,26.69574737548828,37.91086959838867,76.05598449707031,4342.234313964844,18053.16455078125,13501.915161132813,16.80810546875,16883044352,34359738368,6624030720,0
200,1740617768210,1609,1609,1609,1609,1609,1609,1609,1609,100,100,100,100,100,100,100,100,4342.241943359375,18053.211303710938,13501.95947265625,16.80810546875,16883044352,34359738368,6624006144,0
199,1740617768411,1609,1609,1609,1609,1609,1609,1609,1609,20.501609802246094,20.917694091796875,48.22171401977539,11.5516357421875,26.403533935546875,15.7403564453125,22.281402587890625,26.847740173339844,4342.4052734375,18055.243286132813,13503.775146484375,16.80810546875,16883044352,34359738368,6667558912,0
200,1740617768610,1609,1609,1609,1609,1609,1609,1609,1609,58.20144271850586,50.79976272583008,57.655094146728516,60.87599182128906,59.6810188293457,46.788082122802734,56.39956283569336,53.907772064208984,4342.791748046875,18059.119384765625,13507.309936523438,16.8089599609375,16883044352,34359738368,6807543808,0
200,1740617768810,1609,1609,1609,1609,1609,1609,1609,1609,82.2650375366211,60.66794967651367,68.7127685546875,57.890384674072266,72.03474426269531,62.0471076965332,66.42695617675781,58.03809356689453,4343.1661376953125,18062.782104492188,13510.695495605469,16.8089599609375,16883044352,34359738368,6809210880,0
200,1740617769011,1609,1609,1609,1609,1609,1609,1609,1609,61.4714241027832,41.778263092041016,61.20954513549805,58.922691345214844,55.02875518798828,46.86207580566406,59.356773376464844,39.89129638671875,4343.483093261719,18066.90008544922,13514.5947265625,16.8089599609375,16883044352,34359738368,6809395200,0
200,1740617769211,1609,1609,1609,1609,1609,1609,1609,1609,63.778255462646484,58.62025451660156,66.059814453125,61.70903778076172,74.28627014160156,59.72633361816406,68.53610229492188,50.904544830322266,4343.8948974609375,18071.17138671875,13518.603759765625,16.809814453125,16883044352,34359738368,6808985600,0
200,1740617769412,1609,1609,1609,1609,1609,1609,1609,1609,79.0379638671875,69.59542846679688,75.10440063476563,73.53052520751953,75.14346313476563,69.630126953125,78.53934478759766,68.9324722290039,4344.3426513671875,18075.417541503906,13522.5322265625,16.810302734375,16883044352,34359738368,6808551424,0
199,1740617769612,1609,1609,1609,1609,1609,1609,1609,1609,75.78668975830078,69.62731170654297,74.02538299560547,72.16346740722656,74.32254791259766,79.67539978027344,73.74995422363281,71.02513885498047,4344.8233642578125,18079.431091308594,13526.25439453125,16.810791015625,16883044352,34359738368,6808915968,0
199,1740617769812,1609,1609,1609,1609,1609,1609,1609,1609,81.4495849609375,75.64768981933594,78.3836441040039,72.577880859375,85.73170471191406,81.5078353881836,82.07662963867188,74.74115753173828,4345.296630859375,18083.538146972656,13530.0966796875,16.810791015625,16883044352,34359738368,6808666112,0
200,1740617770012,1609,1609,1609,1609,1609,1609,1609,1609,36.734130859375,45.853355407714844,51.542625427246094,40.00533676147461,51.1082763671875,43.85288619995117,49.42113494873047,42.565860748291016,4345.615905761719,18087.02471923828,13533.367553710938,16.810791015625,16883044352,34359738368,6808985600,0
200,1740617770213,1609,1609,1609,1609,1609,1609,1609,1609,60.99690628051758,59.432071685791016,64.1359634399414,52.88430404663086,57.917362213134766,55.455604553222656,63.72127151489258,69.8715591430664,4346.026611328125,18091.01788330078,13537.095642089844,16.81158447265625,16883044352,34359738368,6809739264,0
200,1740617770413,1609,1609,1609,1609,1609,1609,1609,1609,73.3372573852539,68.67223358154297,74.14491271972656,69.69784545898438,75.82048797607422,63.934814453125,76.06978607177734,68.50732421875,4346.467102050781,18095.18280029297,13540.999877929688,16.81158447265625,16883044352,34359738368,6809169920,0
199,1740617770614,1609,1609,1609,1609,1609,1609,1609,1609,68.02702331542969,64.64909362792969,68.15910339355469,70.97590637207031,64.80419158935547,71.2298355102539,65.19508361816406,70.8617172241211,4346.8857421875,18099.41729736328,13544.983032226563,16.8121337890625,16883044352,34359738368,6809415680,0
200,1740617770814,1609,1609,1609,1609,1609,1609,1609,1609,69.83689880371094,46.513511657714844,54.16556167602539,64.49385070800781,77.32293701171875,46.91294479370117,76.89427185058594,53.07950210571289,4347.232604980469,18103.94891357422,13549.220764160156,16.8121337890625,16883044352,34359738368,6810222592,0
200,1740617771014,1609,1609,1609,1609,1609,1609,1609,1609,58.560848236083984,55.62704849243164,65.9222640991211,46.19939422607422,72.7049560546875,47.769474029541016,61.0152587890625,62.43605041503906,4347.562255859375,18108.345825195313,13553.385498046875,16.8121337890625,16883044352,34359738368,6809763840,0
199,1740617771215,1609,1609,1609,1609,1609,1609,1609,1609,70.1964111328125,65.87213134765625,63.93419647216797,62.37592315673828,68.48281860351563,66.28059387207031,78.41084289550781,63.63773727416992,4347.912353515625,18113.08349609375,13557.890930175781,16.8131103515625,16883044352,34359738368,6810492928,0
200,1740617771415,1609,1609,1609,1609,1609,1609,1609,1609,74.9931411743164,57.18126678466797,62.033138275146484,72.28431701660156,68.96173095703125,64.47308349609375,73.70445251464844,57.90592956542969,4348.2772216796875,18117.781188964844,13562.341186523438,16.81353759765625,16883044352,34359738368,6809317376,0
199,1740617771615,1609,1609,1609,1609,1609,1609,1609,1609,84.19390869140625,79.78704071044922,81.52647399902344,81.89553833007813,82.63896179199219,73.42326354980469,78.03195190429688,81.31681823730469,4348.772277832031,18122.46923828125,13566.737670898438,16.8140869140625,16883044352,34359738368,6809251840,0
199,1740617771815,1609,1609,1609,1609,1609,1609,1609,1609,84.69468688964844,77.68046569824219,85.32999420166016,85.80645751953125,83.1803970336914,80.02812194824219,82.47561645507813,76.6747817993164,4349.260559082031,18126.936279296875,13570.929382324219,16.8145751953125,16883044352,34359738368,6810251264,0
200,1740617772016,1609,1609,1609,1609,1609,1609,1609,1609,78.68592834472656,76.99275207519531,78.51541900634766,75.37936401367188,79.81797790527344,79.34454345703125,84.67967224121094,79.72261047363281,4349.731689453125,18131.129516601563,13574.834594726563,16.8145751953125,16883044352,34359738368,6810411008,0
199,1740617772216,1609,1609,1609,1609,1609,1609,1609,1609,66.30445861816406,69.2509536743164,64.42251586914063,71.39265441894531,71.38790893554688,56.85835266113281,70.8449935913086,58.32802963256836,4350.120910644531,18134.892944335938,13578.324768066406,16.81500244140625,16883044352,34359738368,6811148288,0
200,1740617772416,1609,1609,1609,1609,1609,1609,1609,1609,78.94009399414063,63.432037353515625,68.4342269897461,67.25482177734375,76.012939453125,51.02983474731445,67.32286071777344,61.8958740234375,4350.4876708984375,18139.64434814453,13582.841796875,16.81500244140625,16883044352,34359738368,6811357184,0
199,1740617772616,1609,1609,1609,1609,1609,1609,1609,1609,56.82817459106445,61.87765121459961,72.23883819580078,54.416465759277344,72.4397201538086,52.265445709228516,63.21482849121094,58.22169876098633,4350.842956542969,18144.11151123047,13587.058898925781,16.81500244140625,16883044352,34359738368,6810714112,0
199,1740617772817,1609,1609,1609,1609,1609,1609,1609,1609,69.48013305664063,58.7601203918457,71.59677124023438,77.80030059814453,69.03916931152344,70.65653228759766,66.45259094238281,66.85235595703125,4351.267028808594,18148.413024902344,13591.092590332031,16.81549072265625,16883044352,34359738368,6811226112,0
200,1740617773017,1609,1609,1609,1609,1609,1609,1609,1609,66.09053039550781,53.439178466796875,78.931640625,69.20259094238281,63.78801727294922,63.94426727294922,75.0242919921875,58.36574172973633,4351.687744140625,18152.703979492188,13595.130859375,16.81549072265625,16883044352,34359738368,6811656192,0
199,1740617773217,1609,1609,1609,1609,1609,1609,1609,1609,61.896522521972656,63.21078109741211,71.5672836303711,61.61005783081055,61.084693908691406,69.84675598144531,68.84317779541016,66.90997314453125,4352.09033203125,18157.30340576172,13599.42578125,16.81646728515625,16883044352,34359738368,6810771456,0
200,1740617773418,1609,1609,1609,1609,1609,1609,1609,1609,73.5904312133789,62.012176513671875,76.1068344116211,69.7370834350586,76.12618255615234,73.48225402832031,73.31864929199219,83.052001953125,4352.540466308594,18161.726135253906,13603.537048339844,16.81683349609375,16883044352,34359738368,6810402816,0
199,1740617773618,1609,1609,1609,1609,1609,1609,1609,1609,76.52596282958984,79.5242919921875,76.84542846679688,77.82096099853516,76.68370819091797,77.50647735595703,73.91399383544922,73.01065063476563,4353.000183105469,18165.637268066406,13607.164306640625,16.81683349609375,16883044352,34359738368,6810062848,0
199,1740617773818,1609,1609,1609,1609,1609,1609,1609,1609,70.3021240234375,67.49664306640625,66.66800689697266,70.0236587524414,68.87451934814453,66.12396240234375,69.51551818847656,67.58090209960938,4353.429443359375,18170.05731201172,13611.272644042969,16.8172607421875,16883044352,34359738368,6812291072,0
200,1740617774018,1609,1609,1609,1609,1609,1609,1609,1609,68.77594757080078,59.32455825805664,76.57337951660156,75.12348175048828,73.08380889892578,58.77376174926758,68.04814910888672,61.57476806640625,4353.832580566406,18174.301818847656,13615.247497558594,16.8172607421875,16883044352,34359738368,6812155904,0
199,1740617774219,1609,1609,1609,1609,1609,1609,1609,1609,80.55974578857422,72.99794006347656,80.27898406982422,77.6077651977539,83.10073852539063,72.78720092773438,79.7550048828125,75.90687561035156,4354.370178222656,18179.16766357422,13619.765319824219,16.81768798828125,16883044352,34359738368,6812614656,0
8,1740617774419,1609,1609,1609,1609,1609,1609,1609,1609,11.854080200195313,12.94671630859375,43.177467346191406,12.572906494140625,21.22258758544922,11.376899719238281,13.339645385742188,14.520248413085938,4354.503723144531,18180.05157470703,13620.494812011719,16.81817626953125,16883044352,34359738368,6633316352,0
