Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740609408347,1609,1609,1609,1609,1609,1609,1609,1609,39.206275939941406,32.035423278808594,60.738563537597656,74.83223724365234,60.15627670288086,35.90760803222656,51.90486145019531,29.2982177734375,1128.6861572265625,5039.053466796875,3695.0426635742188,5.952392578125,16883044352,34359738368,6671343616,0
200,1740609408348,1609,1609,1609,1609,1609,1609,1609,1609,0,0,97.89701080322266,0,99.66226196289063,0,0,0,1128.6935424804688,5039.090759277344,3695.0775756835938,5.952392578125,16883044352,34359738368,6671814656,0
198,1740609408549,1609,1609,1609,1609,1609,1609,1609,1609,10.363792419433594,13.312026977539063,43.62604904174805,10.388565063476563,39.213035583496094,13.209442138671875,18.384132385253906,39.45919418334961,1128.8518676757813,5041.1302490234375,3696.8992309570313,5.952392578125,16883044352,34359738368,6714699776,0
200,1740609408748,1609,1609,1609,1609,1609,1609,1609,1609,35.45215606689453,27.543617248535156,34.78356170654297,38.77191162109375,53.3304557800293,24.32110595703125,34.314544677734375,30.8792724609375,1129.08740234375,5044.187744140625,3699.69189453125,5.95281982421875,16883044352,34359738368,6766542848,0
200,1740609408948,1609,1609,1609,1609,1609,1609,1609,1609,54.23461151123047,48.006587982177734,50.640480041503906,52.54173278808594,61.041717529296875,44.36976623535156,54.709232330322266,37.419456481933594,1129.420166015625,5048.135498046875,3703.398681640625,5.95281982421875,16883044352,34359738368,6767239168,0
200,1740609409149,1609,1609,1609,1609,1609,1609,1609,1609,45.81101608276367,44.401798248291016,45.72080993652344,38.750022888183594,51.92323303222656,29.524185180664063,50.26995086669922,36.78857421875,1129.701904296875,5051.694152832031,3706.7033081054688,5.953369140625,16883044352,34359738368,6766837760,0
200,1740609409349,1609,1609,1609,1609,1609,1609,1609,1609,35.02037811279297,26.8851318359375,35.59264373779297,34.027618408203125,44.18910598754883,20.9923095703125,44.646053314208984,22.592552185058594,1129.9426879882813,5054.9306640625,3709.7235107421875,5.95379638671875,16883044352,34359738368,6767071232,0
199,1740609409550,1609,1609,1609,1609,1609,1609,1609,1609,48.2584228515625,29.521881103515625,43.03778839111328,36.11185073852539,39.650108337402344,42.781768798828125,37.971763610839844,27.944068908691406,1130.1610717773438,5058.245300292969,3712.8384399414063,5.95379638671875,16883044352,34359738368,6768578560,0
200,1740609409750,1609,1609,1609,1609,1609,1609,1609,1609,54.801002502441406,37.07780838012695,56.74241638183594,52.44233322143555,57.8897705078125,38.638729095458984,51.19997024536133,43.95653533935547,1130.4757080078125,5062.2113037109375,3716.5940551757813,5.954345703125,16883044352,34359738368,6768447488,0
199,1740609409950,1609,1609,1609,1609,1609,1609,1609,1609,40.72373962402344,28.01209259033203,41.032135009765625,31.291961669921875,37.55183792114258,31.30522918701172,36.74236297607422,28.905990600585938,1130.6925048828125,5065.306884765625,3719.4906005859375,5.954833984375,16883044352,34359738368,6768996352,0
200,1740609410150,1609,1609,1609,1609,1609,1609,1609,1609,46.76796340942383,31.007591247558594,51.02580642700195,38.058441162109375,50.70397186279297,36.88251876831055,49.967594146728516,37.942108154296875,1130.964111328125,5069.000244140625,3722.9115600585938,5.954833984375,16883044352,34359738368,6770958336,0
200,1740609410351,1609,1609,1609,1609,1609,1609,1609,1609,42.85649108886719,33.140647888183594,54.59188461303711,41.86924743652344,54.83835220336914,38.21488952636719,49.136749267578125,34.677284240722656,1131.2495727539063,5072.704345703125,3726.4009399414063,5.955810546875,16883044352,34359738368,6770651136,0
9,1740609410552,1609,1609,1609,1609,1609,1609,1609,1609,24.16838836669922,22.586700439453125,49.79615783691406,22.804779052734375,30.0645751953125,20.845443725585938,25.279647827148438,30.56053924560547,1131.4551391601563,5074.711669921875,3728.174560546875,5.955810546875,16883044352,34359738368,6681362432,0
