Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740616702811,54497.34344482422,5000,0,0.15625,375204.540435791,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0,0,39.783111572265625,0,0,0,0,0,6.955299377441406,15.337745666503906,0,0,28.312911987304688,0,0,0,64091443200,4026531840,8331649024,0
172,1740616702839,54497.65475463867,5075,0,0.09999999999999987,375205.6392059326,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,6.082939147949219,3.6899261474609375,57.59342956542969,35.75902557373047,34.76758575439453,6.840789794921875,54.253108978271484,25.62457275390625,24.516494750976563,17.233108520507813,27.8470458984375,5.74688720703125,54.811405181884766,91.49504089355469,9.598533630371094,5.804267883300781,64091443200,4026531840,8345726976,0
199,1740616703012,19427.385864257813,4425,0,0.40625,375213.818359375,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,32.804718017578125,33.530479431152344,60.604820251464844,49.25104904174805,56.334869384765625,38.788150787353516,40.23731994628906,38.2218132019043,35.552345275878906,36.00737762451172,38.73795700073242,36.058135986328125,50.82261276245117,50.185646057128906,36.005126953125,33.80554962158203,64091443200,4026531840,8425205760,0
200,1740616703212,54501.41247558594,2728.5714285714284,1,0.3999999999999999,375225.699798584,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,62.42525100708008,62.529483795166016,80.58076477050781,79.72489929199219,75.477783203125,72.18839263916016,70.15878295898438,70.05134582519531,55.6323356628418,57.104679107666016,65.96876525878906,68.1137466430664,79.79225158691406,78.09468078613281,65.2454833984375,68.07499694824219,64091443200,4026531840,8433442816,0
2,1740616703412,54501.522201538086,5125,0,0.08125000000000004,375226.9948120117,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0.740936279296875,0,5.9015960693359375,1.0997543334960938,0.9735107421875,2.5990982055664063,0,0,15.785247802734375,6.0414276123046875,0.18691253662109375,0.21126556396484375,2.94488525390625,1.778656005859375,0.05435943603515625,0.0053558349609375,64091443200,4026531840,8340619264,0
