Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740616396317,54440.552673339844,5125,0,0.05624999999999991,374052.91802978516,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,25.37055206298828,24.547943115234375,69.89469146728516,20.44701385498047,27.11357879638672,21.61004638671875,32.81878662109375,20.61229705810547,56.85572814941406,54.74650573730469,25.428176879882813,20.84808349609375,75.20110321044922,21.334068298339844,22.328025817871094,27.870986938476563,64091443200,4026531840,8350162944,0
171,1740616396346,54440.83123779297,5075,0,0.07499999999999996,374054.3045349121,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,1.1556930541992188,1.9987106323242188,62.80172348022461,19.630752563476563,26.071182250976563,10.956626892089844,33.483360290527344,2.4051284790039063,15.942802429199219,44.26245880126953,13.88470458984375,22.32288360595703,53.46660232543945,15.642005920410156,3.4786376953125,3.1434860229492188,64091443200,4026531840,8356564992,0
200,1740616396517,30148.997619628906,4375,0,0.4750000000000001,374061.41290283203,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,29.736549377441406,31.684051513671875,60.04852294921875,44.85530471801758,41.90595245361328,37.07840347290039,44.4141845703125,35.456268310546875,27.672103881835938,32.35424041748047,33.29620361328125,40.28319549560547,47.81560516357422,49.53012466430664,31.791358947753906,32.31420135498047,64091443200,4026531840,8441913344,0
200,1740616396718,54444.30699157715,4425,0,0.42500000000000004,374073.4263763428,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,61.232139587402344,61.65389633178711,78.65849304199219,80.96896362304688,73.14533233642578,72.42879486083984,68.18770599365234,70.66471862792969,52.7175407409668,57.720420837402344,67.36058044433594,66.5326919555664,82.20591735839844,78.33393096923828,66.60127258300781,65.79581451416016,64091443200,4026531840,8442482688,0
4,1740616396918,54444.56951904297,4825,0,0.2437499999999999,374075.1555786133,3040,3040,3801,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,3040,0,0,38.70861053466797,0,0.8032760620117188,6.042411804199219,0,2.48150634765625,10.093917846679688,1.7966156005859375,0,0,8.950035095214844,2.780517578125,0,0,64091443200,4026531840,8358227968,0
