Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740623007738,1609,1609,1609,1609,1609,1609,1609,1609,55.67411804199219,38.36939239501953,85.6961441040039,31.819747924804688,54.12895965576172,48.05741500854492,74.48541259765625,27.641677856445313,6189.940002441406,23822.16632080078,17359.424194335938,23.43670654296875,16883044352,34359738368,6712651776,0
200,1740623007738,1609,1609,1609,1609,1609,1609,1609,1609,100,100,100,100,100,100,100,100,6189.9478759765625,23822.214782714844,17359.465759277344,23.43670654296875,16883044352,34359738368,6713053184,0
199,1740623007939,1609,1609,1609,1609,1609,1609,1609,1609,19.72930908203125,19.962615966796875,53.84883499145508,13.032737731933594,23.693519592285156,10.958641052246094,27.694007873535156,40.66475296020508,6190.104797363281,23824.277404785156,17361.320739746094,23.43670654296875,16883044352,34359738368,6753103872,0
10,1740623008140,1609,1609,1609,1609,1609,1609,1609,1609,6.4500732421875,2.4828872680664063,28.43444061279297,2.38848876953125,4.104766845703125,6.589752197265625,5.764656066894531,7.780403137207031,6190.2225341796875,23825.02978515625,17361.855346679688,23.4371337890625,16883044352,34359738368,6719000576,0
