Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740619825758,1609,1609,1609,1609,1609,1609,1609,1609,31.54119110107422,0,96.72388458251953,0,0,0,41.40812301635742,0,5180.7943115234375,21716.12286376953,16349.833984375,19.54541015625,16883044352,34359738368,6624665600,0
199,1740619825759,1609,1609,1609,1609,1609,1609,1609,1609,96.48080444335938,66.81959533691406,99.11591339111328,71.58595275878906,88.08538818359375,65.49345397949219,82.34095001220703,77.5321044921875,5180.8037109375,21716.17254638672,16349.868469238281,19.54541015625,16883044352,34359738368,6625013760,0
199,1740619825960,1609,1609,1609,1609,1609,1609,1609,1609,29.724609375,1.68511962890625,57.0963134765625,10.942131042480469,18.05419921875,18.389205932617188,18.68017578125,20.83934783935547,5180.9580078125,21718.2138671875,16351.674377441406,19.54541015625,16883044352,34359738368,6666588160,0
9,1740619826160,1609,1609,1609,1609,1609,1609,1609,1609,3.2400283813476563,0.8778457641601563,19.50603485107422,4.392066955566406,11.989677429199219,1.3083114624023438,2.2692489624023438,14.722732543945313,5181.091735839844,21719.034057617188,16352.269287109375,19.54620361328125,16883044352,34359738368,6636961792,0
